Lith,depo poro,Athy k,Athy k,Compress. Y Max.,Compress. Y Min.,"Schneider Factor,ka","Schneider Factor,kb","Schneider Factor,£X",Reciprocal Compaction Factor,Vert. Cond.,Anisotr.,Sp. Heat Cap.,Th. Sort. Fac.,Den.,U,Th,K,Radioactive Heat,Perm. Anisotr.,Porosity at point 1,Porosity at point 2,Porosity at point 3,Permeability at Point 1,Permeability at Point 2,Permeability at Point 3,Entry Pr. at Porosity 1%,Entry Pr. at Porosity 25%,aToEntryPr,bToEntryPr
,%,1/km,1/Mpa,1e-7/kPa,1e-7/kPa,1/Mpa,1/Mpa,digit,1/km,W/(mK),,J/(kgK),f,kg/m^3,ppm,ppm,%,£gW/m^3,,%,%,%,log mD,log mD,log mD,Mpa,Mpa,Mpa,digit
"  Tuff,felsic",60.000000,0.350000,0.037110,959.100000,16.500000,0.069610,0.021170,0.300000,,2.600000,1.170000,830.000000,1.000000,2650.000000,3.000000,6.500000,3.900000,1.560000,1.300000,1.000000,28.000000,60.000000,-1.870000,1.750000,4.000000,1.740000,0.120000,1.940000,-0.048000
"  Tuff,basaltic",60.000000,0.350000,0.032120,829.300000,14.300000,0.060000,0.018440,0.300000,,1.900000,1.170000,830.000000,1.000000,2900.000000,0.650000,2.200000,0.850000,0.430000,1.300000,1.000000,28.000000,60.000000,-1.870000,1.750000,4.000000,1.740000,0.120000,1.940000,-0.048000
Diatomite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Diatomite,clay-poor",,,,,,,,,,1.600000,1.000000,790.000000,1.000000,2100.000000,1.300000,1.000000,1.000000,0.390000,3.000000,1.000000,25.000000,80.000000,-2.550000,-1.300000,3.000000,2.940000,1.470000,1.560000,-0.013000
"  Diatomite,clay-rich",,,,,,,,,,1.500000,1.100000,800.000000,1.000000,2300.000000,3.000000,2.600000,2.500000,1.010000,10.000000,1.000000,25.000000,75.000000,-3.050000,-1.800000,2.500000,4.300000,2.150000,2.050000,-0.013000
Kerogen,,,,,,,,,,1.000000,1.000000,630.000000,1.000000,1100.000000,100.000000,0.000000,0.000000,10.470000,,,,,,,,,,,
Chemical Sediments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Polyhalite,,,,,,,,,,1.000000,1.000000,700.000000,1.000000,2780.000000,0.020000,0.010000,12.900000,1.250000,,,,,,,,,,,
  Salt,,,,,,,,,,6.500000,1.010000,860.000000,1.000000,2740.000000,0.020000,0.010000,0.100000,0.020000,,,,,,,,,,,
  Sylvinite,,,,,,,,,,1.000000,1.020000,685.000000,1.000000,2100.000000,0.020000,0.010000,20.600000,1.510000,,,,,,,,,,,
  Anhydrite,,,,,,,,,,6.300000,1.050000,750.000000,1.000000,2970.000000,0.100000,0.300000,0.400000,0.090000,,,,,,,,,,,
  Chert,,,,,,,,,,4.800000,1.000000,890.000000,1.000000,2650.000000,1.000000,1.000000,0.700000,0.380000,,,,,,,,,,,
  Gypsum,,,,,,,,,,1.500000,1.150000,1100.000000,1.000000,2320.000000,0.080000,0.200000,0.300000,0.050000,,,,,,,,,,,
  Halite,,,,,,,,,,6.500000,1.010000,860.000000,1.000000,2200.000000,0.020000,0.010000,0.100000,0.010000,,,,,,,,,,,
Igneous Rocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Albitite,,,,,,,,,,2.000000,1.000000,785.000000,,2600.000000,0.020000,0.020000,0.400000,0.040000,,,,,,,,,,,
  Andesite,,,,,,,,,,2.700000,1.000000,820.000000,,2650.000000,1.350000,2.500000,1.400000,0.640000,,,,,,,,,,,
  Anorthosite,,,,,,,,,,1.700000,1.000000,750.000000,,2800.000000,1.000000,3.500000,0.450000,0.560000,,,,,,,,,,,
"  Basalt,normal",,,,,,,,,,1.800000,1.170000,800.000000,,2870.000000,0.900000,2.700000,0.800000,0.520000,,,,,,,,,,,
"  Basalt,weathered",,,,,,,,,,2.100000,1.170000,790.000000,,2870.000000,0.900000,2.700000,0.800000,0.520000,,,,,,,,,,,
  Bronzitite,,,,,,,,,,3.800000,1.000000,760.000000,,3450.000000,0.020000,0.020000,0.050000,0.010000,,,,,,,,,,,
  Diabase,,,,,,,,,,2.600000,1.000000,800.000000,,2800.000000,0.250000,0.900000,0.450000,0.180000,,,,,,,,,,,
  Diorite,,,,,,,,,,2.700000,1.000000,1140.000000,,2900.000000,2.000000,8.500000,1.100000,1.290000,,,,,,,,,,,
  Dolerite,,,,,,,,,,2.300000,1.000000,900.000000,,2930.000000,0.400000,1.600000,0.700000,0.300000,,,,,,,,,,,
  Dunite,,,,,,,,,,3.800000,1.300000,720.000000,,3310.000000,0.004000,0.004000,0.010000,0.000000,,,,,,,,,,,
  Gabbro,,,,,,,,,,2.600000,1.000000,800.000000,,2870.000000,0.250000,0.800000,0.500000,0.180000,,,,,,,,,,,
"  Granite,150My old",,,,,,,,,,2.600000,1.150000,800.000000,,2650.000000,6.500000,17.000000,5.700000,3.320000,,,,,,,,,,,
"  Granite,500My old",,,,,,,,,,2.600000,1.150000,800.000000,,2650.000000,4.500000,15.000000,4.500000,2.570000,,,,,,,,,,,
"  Granite,>1000My old",,,,,,,,,,2.600000,1.150000,800.000000,,2650.000000,4.000000,13.500000,3.500000,2.250000,,,,,,,,,,,
  Granodiorite,,,,,,,,,,2.600000,1.000000,730.000000,,2720.000000,2.300000,9.300000,2.800000,1.510000,,,,,,,,,,,
  Harzburgite,,,,,,,,,,6.900000,1.000000,760.000000,,3300.000000,0.020000,0.020000,0.050000,0.010000,,,,,,,,,,,
  Hypersthenite,,,,,,,,,,4.100000,1.000000,760.000000,,3450.000000,0.020000,0.020000,0.050000,0.010000,,,,,,,,,,,
  Lamprophyre,,,,,,,,,,2.500000,1.000000,760.000000,,3000.000000,1.200000,5.500000,4.100000,1.190000,,,,,,,,,,,
  Lherzolite,,,,,,,,,,3.300000,1.000000,780.000000,,3150.000000,0.015000,0.050000,0.000600,0.010000,,,,,,,,,,,
  Monzonite,,,,,,,,,,2.700000,1.000000,740.000000,,2600.000000,2.700000,8.500000,4.000000,1.600000,,,,,,,,,,,
"  Monzonite,quartz",,,,,,,,,,2.800000,1.000000,880.000000,,2700.000000,6.500000,27.000000,3.400000,3.860000,,,,,,,,,,,
  Nepheline syenite,,,,,,,,,,2.400000,1.000000,750.000000,,2650.000000,9.100000,27.000000,4.000000,4.500000,,,,,,,,,,,
  Norite,,,,,,,,,,2.200000,1.000000,670.000000,,2860.000000,0.150000,0.500000,0.300000,0.110000,,,,,,,,,,,
  Olivinite,,,,,,,,,,3.200000,1.000000,800.000000,,3450.000000,0.010000,0.080000,0.050000,0.020000,,,,,,,,,,,
"  Peridotite, typical",,,,,,,,,,4.000000,1.000000,800.000000,,3200.000000,0.025000,0.025000,0.055000,0.020000,,,,,,,,,,,
"  Peridotite, serpentinized",,,,,,,,,,2.200000,1.000000,700.000000,,3100.000000,0.030000,0.030000,0.010000,0.010000,,,,,,,,,,,
  Pyroxenite,,,,,,,,,,3.800000,1.000000,1000.000000,,3220.000000,0.200000,0.550000,0.750000,0.190000,,,,,,,,,,,
  Quartz monzonite,,,,,,,,,,2.800000,1.000000,880.000000,,2700.000000,6.500000,27.000000,3.400000,3.860000,,,,,,,,,,,
  Rhyolite,,,,,,,,,,2.600000,1.200000,800.000000,,2500.000000,5.800000,13.000000,3.700000,2.530000,,,,,,,,,,,
"  Syenite, typical",,,,,,,,,,2.600000,1.000000,800.000000,,2760.000000,2.700000,15.000000,4.700000,2.220000,,,,,,,,,,,
"  Syenite, nepheline",,,,,,,,,,2.400000,1.000000,750.000000,,2650.000000,9.100000,27.000000,4.000000,4.500000,,,,,,,,,,,
  Tonalite,,,,,,,,,,2.550000,1.000000,800.000000,,2800.000000,0.000000,12.000000,2.500000,1.100000,,,,,,,,,,,
  Ultramafics,,,,,,,,,,3.800000,1.000000,900.000000,,3310.000000,0.001000,0.004000,0.003000,0.000000,,,,,,,,,,,
BasinMod Lith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Sandstone,45.000000,0.270000,,,,,,,1.75,4.400000,1.550000,1061.000000,,2640.000000,,,,,,1.000000,25.000000,45.000000,-1.800000,3.000000,4.330000,,,,
  Siltstone,55.000000,0.410000,,,,,,,2.2,2.000000,1.550000,1004.000000,,2640.000000,,,,,,1.000000,25.000000,55.000000,-6.280000,-1.000000,0.710000,,,,
